Nom,Indicador Refugi,Latitud,Longitud,Accessibilitat,Aigua potable,Climatització,Àrea Descans,Lavabos,Adreça,Tipologia Refugi,Origen Identificador,Última Actualització,Categoria,Gratuït,Accés Lliure,Equipament_unic
Supermercat Consum *Lluçà,080193|SUPERMERCAT_CONSUM_LLUCA,41.38262,2.130532,Sí,Sí,Sí,No,Sí,"Carrer de Lluçà, 19",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *c. de Sants,080193|SUPERMERCAT_CONSUM_C_DE_SANTS,41.3756,2.131191,Sí,Sí,Sí,No,Sí,"Carrer de Sants, 206",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Rosselló,080193|SUPERMERCAT_CONSUM_ROSSELLO,41.402311,2.169477,Sí,Sí,Sí,No,Sí,"Carrer del Rosselló, 334",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Av. Icària,080193|SUPERMERCAT_CONSUM_AV_ICARIA,41.391235,2.197366,Sí,Sí,Sí,No,Sí,"Avinguda d'Icària, 164",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Berruguete,080193|SUPERMERCAT_CONSUM_BERRUGUETE,41.43325,2.149253,Sí,Sí,Sí,No,Sí,"Carrer de Berruguete, 106",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Villarroel,080193|SUPERMERCAT_CONSUM_VILLARROEL,41.380899,2.162289,Sí,Sí,Sí,No,Sí,"Carrer de Villarroel, 15",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Rbla Fabra i Puig,080193|SUPERMERCAT_CONSUM_RBLA_FABRA_I_PUIG,41.430029,2.18575,Sí,Sí,Sí,No,Sí,"Rambla de Fabra i Puig, 53",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Berenguer de Palou,080193|SUPERMERCAT_CONSUM_BERENGUER_DE_PALOU,41.423067,2.191959,Sí,Sí,Sí,No,Sí,"Carrer de Berenguer de Palou, 52",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Botiga Nivell Estudi De Cuines,080193|BOTIGA_NIVELL_ESTUDI_DE_CUINES,41.405522,2.164695,Sí,No,Sí,No,No,"Travessera de Gràcia, 254",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Jocs d'Aigua Vallcarca,080193|JOCS_D_AIGUA_VALLCARCA,41.408882,2.148014,Sí,No informat,No (aire lliure),Sí,No,"Carrer de Ballester, 83",Jocs d'aigua,Ajuntament de Barcelona,2026-07-04 00:00:00,Joc d'Aigua,Sí,Sí,True
Supermercat Consum *Av. Madrid 160,080193|SUPERMERCAT_CONSUM_AV_MADRID_160,41.380249,2.131172,Sí,Sí,Sí,No,Sí,"Avinguda de Madrid, 160",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Comte d'Urgell,080193|SUPERMERCAT_CONSUM_COMTE_D_URGELL,41.383481,2.156521,Sí,Sí,Sí,No,Sí,"Carrer del Comte d'Urgell, 87",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Cafeteria Facultat Psicología Blanquerna,080193|CAFETERIA_FACULTAT_PSICOLOGIA_BLANQUERNA,41.411914,2.133328,Sí,Sí,Sí,Sí,Sí,"Císter, 34",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *Balmes,080193|SUPERMERCAT_CONSUM_BALMES,41.402461,2.14554,Sí,Sí,Sí,No,Sí,"Carrer de Balmes, 306",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Supermercat Consum *av. República Argentina,080193|SUPERMERCAT_CONSUM_AV_REPUBLICA_ARGENTINA,41.413288,2.138718,Sí,Sí,Sí,No,Sí,"Avinguda de la República Argentina, 267",_microRefugi,Ajuntament de Barcelona,2026-07-04 00:00:00,Microrefugi,Parcialment,Sí,True
Jardí del Passeig Santa Madrona,080193|JARDI_DEL_PASSEIG_SANTA_MADRONA,41.367532,2.158471,Sí,No informat,No (aire lliure),Sí,No,"Passeig de Santa Madrona, 2",Parcs i Jardins,Ajuntament de Barcelona,2026-07-04 00:00:00,Parc i Jardí,Sí,Sí,True
